interaction_id,interaction_date,agent_id,hcp_id,client_id,channel,interaction_type,duration_minutes,connected,outcome,next_best_action,sentiment_score,script_adherence_pct,compliance_status,adverse_event_flagged
INT001659,2024-02-14,AG046,HCP0257,CL06,Phone,Scientific Exchange,13,Yes,Connected,Invite to Webinar,0.43,0.86,Pass,No
INT001660,2024-12-04,AG012,HCP0115,CL02,Video,Onboarding,0,No,Voicemail,Schedule Follow-up,0.49,0.81,Pass,No
INT001661,2024-02-04,AG019,HCP0231,CL03,Phone,Follow-up,19,Yes,Connected,Escalate to MSL,0.61,0.88,Pass,No
INT001662,2024-09-14,AG016,HCP0183,CL06,Phone,Follow-up,0,No,No Answer,Schedule Follow-up,0.46,0.92,Pass,No
INT001663,2024-04-20,AG013,HCP0215,CL05,Phone,Onboarding,11,Yes,Connected,Escalate to MSL,0.61,0.99,Pass,No
INT001664,2024-06-06,AG037,HCP0128,CL02,Portal,Scientific Exchange,1,Yes,Connected,Send Clinical Data,0.73,0.86,Pass,No
INT001665,2024-09-19,AG056,HCP0077,CL04,Email,Promotional,3,Yes,Connected,Sample Drop,0.59,1.0,Pass,No
INT001666,2024-11-15,AG024,HCP0166,CL06,Email,Scientific Exchange,0,No,No Answer,Send Clinical Data,0.41,0.8,Pass,No
INT001667,2024-09-07,AG015,HCP0071,CL08,Phone,Onboarding,9,Yes,Connected,No Action,0.56,0.92,Pass,No
INT001668,2025-01-18,AG037,HCP0194,CL03,Portal,Promotional,0,No,No Answer,Sample Drop,0.41,0.93,Pass,No
INT001669,2024-12-14,AG044,HCP0012,CL07,Phone,Follow-up,23,Yes,Connected,Invite to Webinar,0.39,0.79,Pass,No
INT001670,2024-07-05,AG007,HCP0089,CL01,Phone,Promotional,13,Yes,Connected,Invite to Webinar,0.68,0.84,Pass,No
INT001671,2024-05-30,AG005,HCP0283,CL04,Email,Follow-up,1,Yes,Connected,Schedule Follow-up,0.72,0.91,Pass,No
INT001672,2024-05-28,AG001,HCP0173,CL04,Phone,Scientific Exchange,9,Yes,Connected,Escalate to MSL,0.33,0.98,Pass,No
INT001673,2025-03-31,AG015,HCP0238,CL08,Video,Promotional,0,No,Declined,Send Clinical Data,0.41,0.98,Pass,No
INT001674,2025-03-07,AG058,HCP0281,CL03,Phone,Promotional,6,Yes,Connected,Escalate to MSL,0.35,0.91,Pass,No
INT001675,2024-01-14,AG036,HCP0028,CL05,Phone,Follow-up,12,Yes,Connected,Escalate to MSL,0.55,0.89,Pass,No
INT001676,2025-04-08,AG027,HCP0010,CL07,Portal,Onboarding,3,Yes,Connected,Escalate to MSL,1.0,0.78,Pass,No
INT001677,2025-05-05,AG030,HCP0129,CL08,Email,Onboarding,4,Yes,Connected,No Action,0.92,0.91,Pass,No
INT001678,2024-05-19,AG030,HCP0028,CL07,Phone,Onboarding,2,Yes,Connected,Escalate to MSL,0.36,0.94,Pass,No
INT001679,2025-05-19,AG051,HCP0076,CL07,Email,Scientific Exchange,4,Yes,Connected,Schedule Follow-up,0.77,0.91,Pass,No
INT001680,2025-02-15,AG042,HCP0265,CL07,Phone,Promotional,0,No,Voicemail,No Action,0.61,0.74,Review,No
INT001681,2024-05-16,AG020,HCP0242,CL06,Email,Scientific Exchange,2,Yes,Connected,Escalate to MSL,0.61,1.0,Pass,No
INT001682,2024-09-24,AG044,HCP0185,CL04,Portal,Follow-up,4,Yes,Connected,Escalate to MSL,0.42,0.92,Pass,No
INT001683,2024-04-15,AG002,HCP0268,CL08,Phone,Follow-up,11,Yes,Connected,Sample Drop,0.53,0.8,Pass,No
INT001684,2025-01-16,AG011,HCP0021,CL08,Email,Scientific Exchange,0,No,Declined,Invite to Webinar,0.47,0.86,Pass,No
INT001685,2024-01-01,AG029,HCP0195,CL08,Email,Follow-up,1,Yes,Connected,Schedule Follow-up,0.56,0.86,Pass,No
INT001686,2024-10-22,AG044,HCP0241,CL01,Video,Promotional,0,No,No Answer,Escalate to MSL,0.45,0.87,Pass,No
INT001687,2025-04-29,AG031,HCP0084,CL04,Email,Promotional,1,Yes,Connected,Sample Drop,0.75,0.91,Pass,No
INT001688,2025-01-27,AG042,HCP0236,CL06,Email,Follow-up,4,Yes,Connected,Invite to Webinar,0.64,0.86,Pass,No
INT001689,2025-01-10,AG044,HCP0133,CL03,Phone,Scientific Exchange,7,Yes,Connected,Schedule Follow-up,0.87,0.89,Pass,No
INT001690,2025-04-03,AG058,HCP0097,CL04,Email,Follow-up,2,Yes,Connected,No Action,0.66,0.99,Pass,No
INT001691,2024-02-17,AG035,HCP0059,CL07,Video,Scientific Exchange,4,Yes,Connected,Sample Drop,0.47,1.0,Pass,No
INT001692,2025-02-14,AG034,HCP0153,CL07,Email,Scientific Exchange,1,Yes,Connected,Send Clinical Data,0.52,0.91,Pass,No
INT001693,2025-03-27,AG019,HCP0024,CL06,Email,Scientific Exchange,4,Yes,Connected,Invite to Webinar,0.68,0.96,Pass,No
INT001694,2024-09-13,AG038,HCP0056,CL02,Portal,Scientific Exchange,0,No,Voicemail,No Action,0.18,0.86,Pass,No
INT001695,2025-04-09,AG044,HCP0218,CL06,Email,Follow-up,3,Yes,Connected,Invite to Webinar,0.73,0.85,Pass,No
INT001696,2024-12-20,AG045,HCP0102,CL05,Email,Follow-up,1,Yes,Connected,Escalate to MSL,0.72,0.88,Pass,No
INT001697,2024-04-14,AG032,HCP0069,CL01,Phone,Scientific Exchange,18,Yes,Connected,Invite to Webinar,0.84,1.0,Pass,No
INT001698,2025-01-30,AG040,HCP0073,CL02,Video,Follow-up,2,Yes,Connected,Schedule Follow-up,0.54,0.82,Pass,No
INT001699,2024-03-23,AG019,HCP0090,CL04,Portal,Onboarding,3,Yes,Connected,Sample Drop,0.42,0.72,Review,No
INT001700,2025-03-14,AG028,HCP0041,CL08,Phone,Promotional,12,Yes,Connected,Escalate to MSL,0.96,0.8,Pass,No
INT001701,2024-10-28,AG059,HCP0258,CL08,Email,Promotional,4,Yes,Connected,Schedule Follow-up,0.37,0.88,Pass,No
INT001702,2024-01-04,AG016,HCP0143,CL01,Phone,Promotional,0,No,Voicemail,Invite to Webinar,0.56,1.0,Pass,No
INT001703,2024-01-28,AG022,HCP0223,CL03,Email,Promotional,0,No,Voicemail,Schedule Follow-up,0.27,0.83,Pass,No
INT001704,2024-03-12,AG010,HCP0143,CL05,Video,Promotional,11,Yes,Connected,Sample Drop,0.59,0.81,Pass,No
INT001705,2024-09-15,AG027,HCP0284,CL07,Phone,Promotional,0,No,No Answer,Escalate to MSL,0.72,0.85,Pass,No
INT001706,2025-03-26,AG002,HCP0162,CL04,Phone,Scientific Exchange,0,No,Declined,Invite to Webinar,0.37,0.83,Pass,No
INT001707,2024-04-17,AG012,HCP0252,CL02,Email,Follow-up,3,Yes,Connected,Send Clinical Data,0.29,0.95,Pass,No
INT001708,2025-02-08,AG041,HCP0040,CL04,Email,Scientific Exchange,2,Yes,Connected,No Action,0.45,0.88,Pass,No
INT001709,2024-01-30,AG005,HCP0164,CL05,Phone,Follow-up,9,Yes,Connected,Send Clinical Data,0.72,0.81,Pass,No
INT001710,2024-11-19,AG041,HCP0283,CL03,Phone,Scientific Exchange,18,Yes,Connected,Escalate to MSL,0.49,0.82,Pass,No
INT001711,2024-03-22,AG018,HCP0200,CL05,Phone,Promotional,10,Yes,Connected,Invite to Webinar,0.43,0.88,Pass,No
INT001712,2025-01-25,AG015,HCP0086,CL08,Phone,Follow-up,0,No,No Answer,Escalate to MSL,0.75,0.88,Pass,No
INT001713,2024-12-12,AG028,HCP0151,CL03,Video,Onboarding,0,No,Voicemail,Send Clinical Data,0.11,0.82,Pass,No
INT001714,2024-10-02,AG031,HCP0074,CL08,Video,Onboarding,0,No,No Answer,No Action,0.55,1.0,Pass,No
INT001715,2025-01-12,AG006,HCP0004,CL07,Phone,Promotional,0,No,Declined,No Action,0.47,0.83,Pass,No
INT001716,2024-02-07,AG016,HCP0176,CL07,Phone,Onboarding,9,Yes,Connected,Schedule Follow-up,0.75,0.78,Pass,No
INT001717,2024-05-09,AG017,HCP0170,CL04,Phone,Promotional,0,No,No Answer,Send Clinical Data,0.52,0.9,Pass,No
INT001718,2024-10-24,AG036,HCP0177,CL08,Portal,Scientific Exchange,3,Yes,Connected,No Action,0.92,0.94,Pass,No
INT001719,2024-03-11,AG034,HCP0115,CL08,Portal,Onboarding,3,Yes,Connected,Sample Drop,0.79,0.95,Pass,No
INT001720,2025-01-24,AG051,HCP0299,CL07,Email,Follow-up,4,Yes,Connected,Escalate to MSL,0.66,0.98,Pass,No
INT001721,2024-03-13,AG001,HCP0153,CL05,Email,Onboarding,4,Yes,Connected,Invite to Webinar,0.51,0.91,Pass,No
INT001722,2024-09-25,AG011,HCP0146,CL06,Phone,Promotional,0,No,No Answer,Sample Drop,0.74,0.89,Pass,No
INT001723,2024-09-07,AG038,HCP0143,CL03,Email,Scientific Exchange,3,Yes,Connected,Escalate to MSL,0.66,0.94,Pass,No
INT001724,2024-11-24,AG033,HCP0015,CL02,Phone,Onboarding,18,Yes,Connected,Escalate to MSL,0.51,0.86,Pass,No
INT001725,2025-04-14,AG050,HCP0039,CL01,Email,Scientific Exchange,2,Yes,Connected,Schedule Follow-up,0.6,0.93,Pass,No
INT001726,2025-01-11,AG009,HCP0231,CL08,Phone,Follow-up,19,Yes,Connected,No Action,0.57,0.97,Pass,No
INT001727,2025-01-31,AG045,HCP0298,CL05,Phone,Promotional,8,Yes,Connected,Send Clinical Data,0.53,0.81,Pass,No
INT001728,2024-11-16,AG037,HCP0043,CL08,Phone,Promotional,0,No,Declined,Send Clinical Data,0.68,0.96,Pass,No
INT001729,2024-03-17,AG048,HCP0188,CL03,Video,Scientific Exchange,8,Yes,Connected,No Action,0.53,0.83,Pass,No
INT001730,2024-11-23,AG042,HCP0161,CL02,Video,Promotional,0,No,No Answer,Send Clinical Data,0.35,1.0,Pass,No
INT001731,2024-05-24,AG004,HCP0105,CL01,Video,Follow-up,6,Yes,Connected,Sample Drop,0.81,0.91,Pass,No
INT001732,2024-01-10,AG004,HCP0097,CL06,Email,Promotional,1,Yes,Connected,Invite to Webinar,0.76,0.94,Pass,No
INT001733,2024-02-09,AG045,HCP0089,CL04,Portal,Promotional,1,Yes,Connected,Sample Drop,0.35,0.88,Pass,No
INT001734,2024-05-19,AG046,HCP0085,CL06,Email,Scientific Exchange,1,Yes,Connected,Invite to Webinar,0.6,0.88,Pass,No
INT001735,2024-11-05,AG016,HCP0079,CL06,Phone,Scientific Exchange,26,Yes,Connected,Invite to Webinar,0.27,0.81,Pass,No
INT001736,2025-03-01,AG047,HCP0120,CL05,Video,Follow-up,16,Yes,Connected,Schedule Follow-up,0.87,0.88,Pass,No
INT001737,2024-07-27,AG012,HCP0253,CL04,Phone,Promotional,0,No,No Answer,Escalate to MSL,0.3,0.93,Pass,No
INT001738,2025-06-24,AG006,HCP0115,CL01,Phone,Promotional,14,Yes,Connected,Invite to Webinar,0.88,0.93,Pass,No
INT001739,2024-02-06,AG005,HCP0297,CL07,Email,Promotional,2,Yes,Connected,Escalate to MSL,0.81,0.97,Pass,No
INT001740,2025-02-12,AG010,HCP0036,CL04,Phone,Promotional,15,Yes,Connected,No Action,0.53,0.87,Pass,No
INT001741,2025-06-02,AG004,HCP0154,CL02,Portal,Scientific Exchange,2,Yes,Connected,No Action,0.68,0.86,Pass,No
INT001742,2024-10-05,AG019,HCP0019,CL06,Video,Scientific Exchange,2,Yes,Connected,Sample Drop,0.67,0.95,Pass,No
INT001743,2024-06-06,AG038,HCP0189,CL07,Phone,Promotional,2,Yes,Connected,Sample Drop,0.6,0.84,Pass,No
INT001744,2025-05-30,AG046,HCP0236,CL03,Phone,Follow-up,0,No,No Answer,Invite to Webinar,0.68,0.89,Pass,No
INT001745,2024-07-29,AG005,HCP0048,CL01,Phone,Follow-up,0,No,No Answer,Schedule Follow-up,0.47,1.0,Pass,No
INT001746,2024-09-08,AG028,HCP0205,CL08,Phone,Promotional,0,No,Declined,Invite to Webinar,0.38,1.0,Pass,No
INT001747,2024-03-08,AG009,HCP0127,CL04,Email,Scientific Exchange,3,Yes,Connected,Sample Drop,0.46,0.9,Pass,No
INT001748,2025-05-17,AG042,HCP0025,CL07,Phone,Scientific Exchange,13,Yes,Connected,Sample Drop,0.82,0.81,Pass,No
INT001749,2025-06-21,AG019,HCP0278,CL04,Email,Follow-up,3,Yes,Connected,Sample Drop,0.63,0.91,Pass,No
INT001750,2024-04-27,AG059,HCP0278,CL03,Email,Promotional,3,Yes,Connected,Escalate to MSL,0.23,1.0,Pass,No
INT001751,2025-05-15,AG027,HCP0013,CL04,Portal,Promotional,2,Yes,Connected,Send Clinical Data,0.44,0.95,Pass,No
INT001752,2024-10-07,AG026,HCP0289,CL04,Phone,Scientific Exchange,13,Yes,Connected,Escalate to MSL,0.77,0.91,Pass,No
INT001753,2024-06-21,AG028,HCP0246,CL05,Phone,Promotional,0,No,No Answer,Escalate to MSL,0.59,0.94,Pass,No
INT001754,2024-03-22,AG029,HCP0247,CL07,Phone,Promotional,15,Yes,Connected,Sample Drop,0.72,0.91,Pass,No
INT001755,2024-02-01,AG029,HCP0092,CL02,Email,Follow-up,1,Yes,Connected,Send Clinical Data,0.84,0.95,Pass,No
INT001756,2024-09-21,AG057,HCP0193,CL02,Phone,Promotional,13,Yes,Connected,Send Clinical Data,0.33,0.85,Pass,No
INT001757,2024-10-24,AG048,HCP0204,CL04,Phone,Follow-up,0,No,No Answer,Invite to Webinar,0.65,0.85,Pass,No
INT001758,2024-03-29,AG018,HCP0162,CL05,Portal,Follow-up,4,Yes,Connected,Schedule Follow-up,0.64,0.91,Pass,Yes
INT001759,2024-04-11,AG039,HCP0212,CL03,Phone,Follow-up,0,No,Voicemail,Invite to Webinar,0.41,0.8,Pass,No
INT001760,2025-04-06,AG055,HCP0228,CL04,Phone,Promotional,20,Yes,Connected,Schedule Follow-up,0.44,0.79,Pass,No
INT001761,2024-03-12,AG051,HCP0300,CL04,Phone,Follow-up,0,No,No Answer,Send Clinical Data,0.17,0.98,Pass,No
INT001762,2024-02-04,AG027,HCP0133,CL01,Phone,Follow-up,0,No,Voicemail,Schedule Follow-up,0.41,1.0,Pass,No
INT001763,2024-09-18,AG045,HCP0216,CL03,Video,Onboarding,10,Yes,Connected,Sample Drop,0.5,0.9,Pass,No
INT001764,2025-05-01,AG040,HCP0199,CL07,Email,Scientific Exchange,4,Yes,Connected,Sample Drop,0.49,0.97,Pass,No
INT001765,2025-04-02,AG011,HCP0257,CL01,Portal,Scientific Exchange,0,No,Voicemail,Send Clinical Data,0.26,1.0,Pass,No
INT001766,2024-08-05,AG018,HCP0157,CL08,Email,Follow-up,3,Yes,Connected,Escalate to MSL,0.4,0.87,Pass,No
INT001767,2025-03-31,AG015,HCP0084,CL07,Phone,Follow-up,0,No,Voicemail,Schedule Follow-up,0.39,1.0,Pass,No
INT001768,2024-09-02,AG030,HCP0285,CL02,Phone,Follow-up,23,Yes,Connected,Schedule Follow-up,0.53,0.85,Pass,No
INT001769,2024-09-08,AG055,HCP0139,CL05,Email,Scientific Exchange,0,No,Declined,Sample Drop,0.56,0.99,Pass,No
INT001770,2025-01-02,AG046,HCP0180,CL03,Video,Follow-up,0,No,No Answer,No Action,0.34,0.81,Pass,No
INT001771,2024-03-25,AG043,HCP0252,CL02,Email,Scientific Exchange,3,Yes,Connected,Sample Drop,0.45,0.98,Pass,No
INT001772,2024-03-15,AG034,HCP0287,CL03,Portal,Follow-up,4,Yes,Connected,Invite to Webinar,0.9,0.88,Pass,No
INT001773,2024-03-24,AG060,HCP0002,CL08,Video,Scientific Exchange,0,No,No Answer,Schedule Follow-up,0.76,0.97,Pass,No
INT001774,2025-06-12,AG038,HCP0259,CL04,Phone,Promotional,10,Yes,Connected,Escalate to MSL,0.92,0.86,Pass,No
INT001775,2025-04-14,AG055,HCP0173,CL03,Phone,Onboarding,0,No,Declined,Schedule Follow-up,0.77,0.74,Review,No
INT001776,2024-02-01,AG004,HCP0241,CL02,Email,Promotional,1,Yes,Connected,Escalate to MSL,0.51,0.97,Pass,No
INT001777,2025-01-04,AG011,HCP0085,CL07,Email,Onboarding,4,Yes,Connected,Invite to Webinar,0.89,0.87,Pass,No
INT001778,2024-05-16,AG054,HCP0105,CL04,Video,Follow-up,7,Yes,Connected,Schedule Follow-up,0.78,0.93,Pass,No
INT001779,2025-06-16,AG050,HCP0001,CL01,Phone,Onboarding,19,Yes,Connected,Schedule Follow-up,0.38,0.92,Pass,No
INT001780,2024-02-05,AG034,HCP0263,CL07,Portal,Follow-up,2,Yes,Connected,Escalate to MSL,0.61,0.95,Pass,No
INT001781,2025-02-23,AG057,HCP0264,CL04,Phone,Scientific Exchange,21,Yes,Connected,Invite to Webinar,0.58,0.84,Pass,No
INT001782,2024-10-09,AG012,HCP0210,CL06,Phone,Promotional,22,Yes,Connected,Schedule Follow-up,0.39,0.85,Pass,No
INT001783,2024-07-17,AG050,HCP0262,CL03,Email,Promotional,4,Yes,Connected,Sample Drop,0.76,0.85,Pass,No
INT001784,2025-02-02,AG022,HCP0068,CL03,Phone,Promotional,14,Yes,Connected,Invite to Webinar,0.26,0.79,Pass,No
INT001785,2025-04-17,AG058,HCP0131,CL06,Phone,Onboarding,0,No,No Answer,Sample Drop,0.46,0.99,Pass,No
INT001786,2024-07-23,AG050,HCP0021,CL07,Phone,Scientific Exchange,16,Yes,Connected,No Action,0.72,0.8,Pass,No
INT001787,2024-08-01,AG049,HCP0295,CL01,Phone,Follow-up,0,No,No Answer,Send Clinical Data,0.5,0.73,Review,No
INT001788,2025-06-16,AG009,HCP0253,CL07,Phone,Onboarding,23,Yes,Connected,Send Clinical Data,0.48,0.9,Pass,No
INT001789,2024-02-24,AG030,HCP0072,CL04,Email,Scientific Exchange,2,Yes,Connected,Schedule Follow-up,0.75,0.94,Pass,No
INT001790,2024-07-20,AG035,HCP0300,CL05,Phone,Scientific Exchange,0,No,No Answer,Invite to Webinar,0.5,0.96,Pass,No
INT001791,2024-01-13,AG008,HCP0276,CL04,Email,Promotional,1,Yes,Connected,Sample Drop,0.82,0.98,Pass,No
INT001792,2025-03-07,AG030,HCP0113,CL08,Phone,Promotional,0,No,Voicemail,Escalate to MSL,0.21,1.0,Pass,No
INT001793,2024-05-27,AG043,HCP0198,CL01,Portal,Follow-up,3,Yes,Connected,Schedule Follow-up,0.73,0.86,Pass,No
INT001794,2025-03-14,AG024,HCP0251,CL04,Email,Follow-up,1,Yes,Connected,Escalate to MSL,0.51,1.0,Pass,No
INT001795,2025-04-24,AG034,HCP0186,CL04,Phone,Onboarding,4,Yes,Connected,Invite to Webinar,0.55,0.87,Pass,No
INT001796,2025-03-06,AG044,HCP0266,CL04,Email,Scientific Exchange,2,Yes,Connected,Sample Drop,0.58,0.96,Pass,No
INT001797,2025-02-18,AG052,HCP0186,CL02,Email,Follow-up,1,Yes,Connected,Invite to Webinar,0.85,0.85,Pass,No
INT001798,2025-06-28,AG043,HCP0019,CL07,Email,Scientific Exchange,4,Yes,Connected,No Action,0.76,0.77,Pass,No
INT001799,2024-06-21,AG016,HCP0073,CL06,Video,Scientific Exchange,0,No,No Answer,Send Clinical Data,0.5,0.83,Pass,No
INT001800,2024-09-20,AG007,HCP0167,CL06,Email,Promotional,4,Yes,Connected,Escalate to MSL,0.62,0.88,Review,No
INT001801,2025-01-11,AG022,HCP0148,CL01,Phone,Promotional,22,Yes,Connected,Send Clinical Data,0.63,0.84,Pass,No
INT001802,2024-07-27,AG005,HCP0241,CL01,Email,Scientific Exchange,1,Yes,Connected,No Action,0.74,0.91,Pass,No
INT001803,2024-06-23,AG043,HCP0193,CL04,Email,Onboarding,4,Yes,Connected,Invite to Webinar,0.53,0.85,Pass,No
INT001804,2024-01-11,AG014,HCP0146,CL08,Phone,Scientific Exchange,0,No,Declined,Sample Drop,0.44,0.87,Pass,No
INT001805,2024-07-21,AG036,HCP0266,CL07,Phone,Onboarding,2,Yes,Connected,Invite to Webinar,0.81,0.91,Pass,No
INT001806,2024-01-24,AG031,HCP0264,CL06,Email,Follow-up,4,Yes,Connected,Escalate to MSL,0.45,1.0,Pass,No
INT001807,2024-10-19,AG013,HCP0254,CL02,Portal,Scientific Exchange,0,No,Voicemail,Sample Drop,0.44,0.84,Pass,No
INT001808,2024-08-27,AG049,HCP0252,CL04,Email,Promotional,0,No,Declined,Escalate to MSL,0.33,0.88,Pass,No
INT001809,2025-03-23,AG029,HCP0282,CL01,Video,Follow-up,0,No,Declined,Sample Drop,0.62,1.0,Pass,No
INT001810,2024-08-30,AG059,HCP0045,CL04,Email,Follow-up,4,Yes,Connected,No Action,0.96,0.82,Pass,No
INT001811,2024-11-27,AG018,HCP0126,CL05,Phone,Promotional,17,Yes,Connected,Schedule Follow-up,0.59,0.95,Pass,No
INT001812,2024-08-15,AG010,HCP0123,CL01,Email,Promotional,4,Yes,Connected,Sample Drop,0.58,1.0,Pass,No
INT001813,2025-04-07,AG050,HCP0119,CL06,Phone,Promotional,18,Yes,Connected,Schedule Follow-up,0.64,0.96,Pass,No
INT001814,2024-03-01,AG001,HCP0267,CL01,Phone,Follow-up,17,Yes,Connected,Send Clinical Data,0.59,0.98,Pass,No
INT001815,2024-04-28,AG031,HCP0207,CL05,Email,Promotional,1,Yes,Connected,Sample Drop,0.44,0.79,Pass,No
INT001816,2024-02-15,AG003,HCP0122,CL07,Email,Onboarding,4,Yes,Connected,Schedule Follow-up,0.57,0.8,Pass,No
INT001817,2024-08-16,AG051,HCP0155,CL02,Phone,Promotional,4,Yes,Connected,Escalate to MSL,0.89,0.81,Pass,No
INT001818,2024-02-01,AG021,HCP0162,CL01,Video,Scientific Exchange,0,No,Declined,Schedule Follow-up,0.57,0.91,Pass,No
INT001819,2024-04-02,AG012,HCP0151,CL06,Video,Scientific Exchange,21,Yes,Connected,Escalate to MSL,0.84,0.86,Pass,No
INT001820,2024-08-15,AG019,HCP0291,CL02,Phone,Scientific Exchange,0,No,Declined,Escalate to MSL,0.59,0.9,Pass,No
INT001821,2024-05-31,AG027,HCP0273,CL08,Phone,Promotional,0,No,No Answer,Escalate to MSL,0.27,0.89,Pass,No
INT001822,2024-04-13,AG055,HCP0105,CL03,Video,Onboarding,0,No,Voicemail,Escalate to MSL,0.73,0.84,Review,Yes
INT001823,2024-02-13,AG028,HCP0043,CL03,Portal,Promotional,1,Yes,Connected,Escalate to MSL,0.65,0.85,Pass,No
INT001824,2025-06-18,AG056,HCP0136,CL01,Email,Onboarding,4,Yes,Connected,Escalate to MSL,0.69,0.89,Pass,No
INT001825,2025-02-28,AG023,HCP0198,CL03,Email,Promotional,4,Yes,Connected,Invite to Webinar,0.86,0.98,Pass,No
INT001826,2024-04-22,AG009,HCP0017,CL04,Portal,Onboarding,3,Yes,Connected,Schedule Follow-up,0.82,0.88,Pass,No
INT001827,2024-08-14,AG036,HCP0221,CL01,Video,Scientific Exchange,22,Yes,Connected,Send Clinical Data,0.84,0.98,Pass,No
INT001828,2024-06-03,AG004,HCP0094,CL06,Phone,Follow-up,5,Yes,Connected,Send Clinical Data,0.35,0.91,Pass,No
INT001829,2025-02-18,AG008,HCP0146,CL06,Email,Promotional,1,Yes,Connected,Escalate to MSL,0.85,0.79,Pass,No
INT001830,2024-04-15,AG004,HCP0148,CL06,Phone,Promotional,14,Yes,Connected,Invite to Webinar,0.29,0.91,Pass,No
INT001831,2024-04-14,AG057,HCP0286,CL01,Phone,Follow-up,0,No,No Answer,Sample Drop,0.43,0.97,Pass,No
INT001832,2024-12-06,AG003,HCP0283,CL04,Phone,Promotional,6,Yes,Connected,Escalate to MSL,0.49,0.88,Pass,Yes
INT001833,2024-12-22,AG003,HCP0212,CL03,Email,Promotional,4,Yes,Connected,Escalate to MSL,0.53,0.88,Pass,No
INT001834,2025-03-29,AG042,HCP0021,CL08,Phone,Promotional,10,Yes,Connected,No Action,0.89,0.88,Pass,No
INT001835,2024-07-18,AG012,HCP0162,CL04,Email,Follow-up,4,Yes,Connected,Schedule Follow-up,0.52,0.91,Pass,No
INT001836,2024-11-23,AG007,HCP0201,CL05,Email,Promotional,1,Yes,Connected,Escalate to MSL,0.39,0.85,Pass,No
INT001837,2025-02-12,AG059,HCP0008,CL03,Portal,Onboarding,4,Yes,Connected,No Action,0.67,0.94,Pass,No
INT001838,2025-02-26,AG001,HCP0098,CL05,Email,Scientific Exchange,4,Yes,Connected,No Action,0.62,0.98,Pass,No
INT001839,2025-01-07,AG042,HCP0024,CL02,Phone,Promotional,0,No,Voicemail,No Action,0.31,0.76,Pass,No
INT001840,2024-02-04,AG009,HCP0106,CL02,Email,Promotional,2,Yes,Connected,Schedule Follow-up,0.66,0.97,Pass,No
INT001841,2025-01-03,AG034,HCP0165,CL05,Email,Follow-up,1,Yes,Connected,Invite to Webinar,0.6,0.82,Pass,No
INT001842,2024-08-23,AG058,HCP0117,CL06,Phone,Scientific Exchange,0,No,Voicemail,Sample Drop,0.67,0.86,Pass,No
INT001843,2024-09-21,AG043,HCP0077,CL04,Phone,Follow-up,0,No,No Answer,Invite to Webinar,0.78,0.75,Pass,No
INT001844,2024-09-28,AG015,HCP0056,CL05,Portal,Follow-up,1,Yes,Connected,Invite to Webinar,0.41,0.94,Pass,No
INT001845,2024-04-27,AG059,HCP0101,CL08,Video,Promotional,0,No,No Answer,No Action,0.28,0.85,Pass,No
INT001846,2024-01-16,AG060,HCP0272,CL03,Phone,Scientific Exchange,0,No,Voicemail,Schedule Follow-up,0.33,0.99,Pass,No
INT001847,2024-08-10,AG052,HCP0291,CL07,Phone,Promotional,0,No,Declined,Invite to Webinar,0.21,0.98,Pass,No
INT001848,2025-06-19,AG022,HCP0186,CL08,Email,Scientific Exchange,0,No,Declined,Escalate to MSL,0.44,0.94,Pass,No
INT001849,2024-03-10,AG010,HCP0101,CL08,Video,Scientific Exchange,8,Yes,Connected,No Action,0.64,0.87,Pass,No
INT001850,2025-04-28,AG034,HCP0286,CL03,Email,Promotional,0,No,Declined,Send Clinical Data,0.39,0.93,Pass,No
INT001851,2024-11-24,AG001,HCP0135,CL08,Phone,Scientific Exchange,0,No,Voicemail,Invite to Webinar,0.53,0.89,Pass,No
INT001852,2025-01-03,AG045,HCP0257,CL08,Phone,Follow-up,9,Yes,Connected,Escalate to MSL,0.66,0.86,Pass,No
INT001853,2024-03-25,AG013,HCP0053,CL06,Video,Follow-up,2,Yes,Connected,Sample Drop,0.86,0.97,Pass,No
INT001854,2024-11-09,AG051,HCP0135,CL04,Phone,Follow-up,9,Yes,Connected,Sample Drop,0.73,0.9,Pass,No
INT001855,2025-01-06,AG046,HCP0237,CL05,Phone,Scientific Exchange,17,Yes,Connected,Send Clinical Data,0.74,0.78,Pass,No
INT001856,2024-11-05,AG015,HCP0125,CL05,Video,Onboarding,5,Yes,Connected,Send Clinical Data,0.74,0.93,Pass,No
INT001857,2024-04-04,AG019,HCP0155,CL08,Phone,Follow-up,0,No,Voicemail,No Action,0.46,0.86,Pass,No
INT001858,2024-08-10,AG033,HCP0207,CL01,Portal,Onboarding,2,Yes,Connected,No Action,0.39,0.98,Pass,No
INT001859,2024-11-25,AG028,HCP0113,CL03,Email,Promotional,2,Yes,Connected,Sample Drop,0.8,0.92,Pass,No
INT001860,2025-02-09,AG036,HCP0021,CL08,Phone,Promotional,0,No,Declined,Escalate to MSL,0.54,0.86,Pass,No
INT001861,2024-12-27,AG030,HCP0159,CL08,Email,Follow-up,4,Yes,Connected,No Action,0.27,0.98,Pass,No
INT001862,2024-05-10,AG001,HCP0002,CL08,Phone,Follow-up,14,Yes,Connected,Schedule Follow-up,0.99,0.9,Pass,No
