UsageID,UsageDate,RepID,Drug,TherapyArea,Topic,QueryType,AnswerQuality,TimeToAnswerSec,TimeSavedMinutes,UsedInHCPInteraction,UserSatisfaction,HCPID
MSL-001842,2025-09-23,REP-009,CardioPlus-25mg,Cardiology,Competitor Comparison,Pre-Meeting Prep,Fully Answered,9.1,11.3,1,5,HCP-0290
MSL-001843,2025-09-23,REP-009,DrugGamma-200mg,Cardiology,Long-term Outcomes,Self-Study,Fully Answered,7.1,10.2,0,5,
MSL-001844,2025-09-23,REP-009,DrugBeta-50mg,Cardiology,Dosing Guidelines,Live During HCP Call,Fully Answered,9.6,17.6,1,5,HCP-0122
MSL-001845,2025-09-23,REP-009,DrugBeta-50mg,Cardiology,Off-label Evidence Request,Post-Call Follow-up,Fully Answered,9.9,13.8,0,4,
MSL-001846,2025-09-23,REP-009,DrugAlpha-100mg,Cardiology,Subgroup Analysis,Live During HCP Call,Fully Answered,5.3,20.1,1,4,HCP-0435
MSL-001847,2025-09-23,REP-009,DrugAlpha-100mg,Cardiology,Combination Therapy,Pre-Meeting Prep,Fully Answered,8.0,6.1,1,5,HCP-0425
MSL-001848,2025-09-23,REP-009,DrugAlpha-100mg,Cardiology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,6.1,10.5,0,5,
MSL-001849,2025-09-23,REP-010,NeuroX-75mg,Immunology,Patient Selection Criteria,Post-Call Follow-up,Fully Answered,8.2,7.3,0,5,
MSL-001850,2025-09-23,REP-010,DrugGamma-200mg,Immunology,Drug Interactions,Self-Study,Partially Answered,17.2,13.6,0,3,
MSL-001851,2025-09-23,REP-010,DrugGamma-200mg,Immunology,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,8.6,5.7,1,5,HCP-0420
MSL-001852,2025-09-23,REP-010,DrugGamma-200mg,Immunology,Competitor Comparison,Live During HCP Call,Partially Answered,21.8,13.1,1,3,HCP-0121
MSL-001853,2025-09-23,REP-010,DrugAlpha-100mg,Immunology,Dosing Guidelines,Pre-Meeting Prep,Fully Answered,11.4,5.6,0,5,
MSL-001854,2025-09-23,REP-015,DrugBeta-50mg,Oncology,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,7.4,3.4,1,5,HCP-0246
MSL-001855,2025-09-23,REP-015,CardioPlus-25mg,Oncology,Clinical Trial Data,Live During HCP Call,No Answer Found,23.6,0,0,1,
MSL-001856,2025-09-23,REP-015,DrugAlpha-100mg,Oncology,Patient Selection Criteria,Pre-Meeting Prep,Fully Answered,7.3,14.2,1,4,HCP-0356
MSL-001857,2025-09-23,REP-015,DrugBeta-50mg,Oncology,Mechanism of Action,Live During HCP Call,Fully Answered,4.3,19.0,1,4,HCP-0264
MSL-001858,2025-09-23,REP-016,DrugGamma-200mg,Neurology,Pharmacokinetics,Self-Study,Fully Answered,6.2,8.9,0,4,
MSL-001859,2025-09-23,REP-016,CardioPlus-25mg,Neurology,Mechanism of Action,Self-Study,Fully Answered,6.0,12.9,0,4,
MSL-001860,2025-09-23,REP-016,DrugBeta-50mg,Neurology,Drug Interactions,Live During HCP Call,Fully Answered,7.5,12.0,1,4,HCP-0270
MSL-001861,2025-09-23,REP-016,DrugAlpha-100mg,Neurology,Guidelines / Protocols,Live During HCP Call,Fully Answered,10.5,10.3,1,5,HCP-0304
MSL-001862,2025-09-23,REP-016,NeuroX-75mg,Neurology,Off-label Evidence Request,Pre-Meeting Prep,Redirected to Medical,14.7,0,0,2,
MSL-001863,2025-09-23,REP-017,DrugBeta-50mg,Immunology,Long-term Outcomes,Live During HCP Call,Fully Answered,3.5,9.8,1,4,HCP-0281
MSL-001864,2025-09-23,REP-017,DrugGamma-200mg,Immunology,Clinical Trial Data,Live During HCP Call,Fully Answered,9.6,19.0,1,4,HCP-0436
MSL-001865,2025-09-23,REP-017,DrugBeta-50mg,Immunology,Real-World Evidence,Self-Study,Partially Answered,13.8,5.3,0,2,
MSL-001866,2025-09-23,REP-017,DrugGamma-200mg,Immunology,Competitor Comparison,Live During HCP Call,No Answer Found,11.2,0,0,2,
MSL-001867,2025-09-23,REP-017,DrugBeta-50mg,Immunology,Mechanism of Action,Pre-Meeting Prep,Partially Answered,11.3,11.7,0,3,
MSL-001868,2025-09-23,REP-021,NeuroX-75mg,Rare Disease,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,12.1,11.9,0,5,
MSL-001869,2025-09-23,REP-021,DrugGamma-200mg,Rare Disease,Mechanism of Action,Pre-Meeting Prep,Fully Answered,12.9,20.4,1,4,HCP-0224
MSL-001870,2025-09-23,REP-021,NeuroX-75mg,Rare Disease,Real-World Evidence,Pre-Meeting Prep,Fully Answered,7.9,8.0,1,5,HCP-0376
MSL-001871,2025-09-24,REP-002,CardioPlus-25mg,Oncology,Competitor Comparison,Pre-Meeting Prep,Fully Answered,9.5,15.9,0,5,
MSL-001872,2025-09-24,REP-002,NeuroX-75mg,Oncology,Combination Therapy,Post-Call Follow-up,Fully Answered,8.6,14.6,0,5,
MSL-001873,2025-09-24,REP-002,NeuroX-75mg,Oncology,Long-term Outcomes,Self-Study,Partially Answered,18.0,18.5,0,3,
MSL-001874,2025-09-24,REP-002,DrugGamma-200mg,Oncology,Subgroup Analysis,Self-Study,Fully Answered,9.5,18.0,0,5,
MSL-001875,2025-09-24,REP-004,DrugBeta-50mg,Cardiology,Drug Interactions,Post-Call Follow-up,Fully Answered,3.4,12.7,0,5,
MSL-001876,2025-09-24,REP-004,DrugBeta-50mg,Cardiology,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,9.9,13.5,1,4,HCP-0271
MSL-001877,2025-09-24,REP-004,DrugGamma-200mg,Cardiology,Mechanism of Action,Self-Study,No Answer Found,17.5,0,0,1,
MSL-001878,2025-09-24,REP-004,DrugGamma-200mg,Cardiology,Adverse Events / Safety,Post-Call Follow-up,Fully Answered,1.7,7.3,0,5,
MSL-001879,2025-09-24,REP-004,DrugAlpha-100mg,Cardiology,Long-term Outcomes,Self-Study,Fully Answered,3.1,10.8,0,5,
MSL-001880,2025-09-24,REP-008,CardioPlus-25mg,Immunology,Subgroup Analysis,Pre-Meeting Prep,Partially Answered,12.9,6.1,1,2,HCP-0446
MSL-001881,2025-09-24,REP-008,DrugBeta-50mg,Immunology,Competitor Comparison,Live During HCP Call,Fully Answered,5.2,6.2,0,4,
MSL-001882,2025-09-24,REP-008,DrugAlpha-100mg,Immunology,Pharmacokinetics,Self-Study,Fully Answered,8.2,13.6,0,4,
MSL-001883,2025-09-24,REP-009,DrugAlpha-100mg,Cardiology,Competitor Comparison,Self-Study,Partially Answered,20.7,13.0,0,3,
MSL-001884,2025-09-24,REP-010,DrugAlpha-100mg,Immunology,Mechanism of Action,Post-Call Follow-up,Fully Answered,9.0,12.9,0,5,
MSL-001885,2025-09-24,REP-010,DrugBeta-50mg,Immunology,Pharmacokinetics,Pre-Meeting Prep,Partially Answered,15.6,15.3,1,3,HCP-0181
MSL-001886,2025-09-24,REP-015,DrugAlpha-100mg,Oncology,Combination Therapy,Self-Study,Fully Answered,2.8,9.2,0,4,
MSL-001887,2025-09-24,REP-015,DrugGamma-200mg,Oncology,Combination Therapy,Pre-Meeting Prep,Redirected to Medical,27.9,0,0,2,
MSL-001888,2025-09-24,REP-016,DrugGamma-200mg,Neurology,Combination Therapy,Self-Study,Fully Answered,8.9,11.7,0,5,
MSL-001889,2025-09-24,REP-016,DrugBeta-50mg,Neurology,Subgroup Analysis,Live During HCP Call,Fully Answered,10.2,20.1,1,5,HCP-0144
MSL-001890,2025-09-24,REP-016,NeuroX-75mg,Neurology,Guidelines / Protocols,Post-Call Follow-up,Fully Answered,5.6,11.4,0,5,
MSL-001891,2025-09-24,REP-016,DrugAlpha-100mg,Neurology,Clinical Trial Data,Post-Call Follow-up,Fully Answered,11.4,15.3,0,4,
MSL-001892,2025-09-24,REP-016,DrugGamma-200mg,Neurology,Clinical Trial Data,Post-Call Follow-up,Partially Answered,13.7,17.2,0,3,
MSL-001893,2025-09-24,REP-016,CardioPlus-25mg,Neurology,Subgroup Analysis,Post-Call Follow-up,Fully Answered,9.6,10.2,0,5,
MSL-001894,2025-09-24,REP-016,DrugAlpha-100mg,Neurology,Adverse Events / Safety,Self-Study,Redirected to Medical,29.6,0,0,2,
MSL-001895,2025-09-24,REP-017,NeuroX-75mg,Immunology,Dosing Guidelines,Self-Study,Partially Answered,13.3,20.2,0,3,
MSL-001896,2025-09-24,REP-021,DrugGamma-200mg,Rare Disease,Patient Selection Criteria,Pre-Meeting Prep,Partially Answered,16.6,10.0,0,2,
MSL-001897,2025-09-24,REP-021,DrugBeta-50mg,Rare Disease,Drug Interactions,Self-Study,Partially Answered,18.9,20.7,0,3,
MSL-001898,2025-09-24,REP-021,DrugBeta-50mg,Rare Disease,Off-label Evidence Request,Post-Call Follow-up,Fully Answered,9.1,13.8,0,5,
MSL-001899,2025-09-25,REP-002,NeuroX-75mg,Oncology,Dosing Guidelines,Self-Study,Fully Answered,10.0,16.9,0,5,
MSL-001900,2025-09-25,REP-002,NeuroX-75mg,Oncology,Clinical Trial Data,Self-Study,Fully Answered,9.3,15.0,0,5,
MSL-001901,2025-09-25,REP-002,DrugBeta-50mg,Oncology,Real-World Evidence,Pre-Meeting Prep,Fully Answered,10.5,10.7,1,4,HCP-0222
MSL-001902,2025-09-25,REP-004,DrugAlpha-100mg,Cardiology,Pharmacokinetics,Live During HCP Call,Fully Answered,7.0,10.3,1,5,HCP-0224
MSL-001903,2025-09-25,REP-004,NeuroX-75mg,Cardiology,Adverse Events / Safety,Pre-Meeting Prep,Partially Answered,17.5,12.8,1,2,HCP-0214
MSL-001904,2025-09-25,REP-008,DrugGamma-200mg,Immunology,Long-term Outcomes,Self-Study,Fully Answered,8.7,8.3,0,5,
MSL-001905,2025-09-25,REP-008,NeuroX-75mg,Immunology,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,4.1,3.8,1,4,HCP-0212
MSL-001906,2025-09-25,REP-009,DrugGamma-200mg,Cardiology,Pharmacokinetics,Self-Study,Fully Answered,8.5,20.0,0,5,
MSL-001907,2025-09-25,REP-009,DrugBeta-50mg,Cardiology,Pharmacokinetics,Live During HCP Call,Fully Answered,9.8,13.4,1,5,HCP-0209
MSL-001908,2025-09-25,REP-009,DrugAlpha-100mg,Cardiology,Off-label Evidence Request,Pre-Meeting Prep,Partially Answered,16.0,16.4,0,3,
MSL-001909,2025-09-25,REP-009,CardioPlus-25mg,Cardiology,Adverse Events / Safety,Pre-Meeting Prep,Partially Answered,18.0,14.5,0,3,
MSL-001910,2025-09-25,REP-009,CardioPlus-25mg,Cardiology,Subgroup Analysis,Live During HCP Call,Fully Answered,8.0,16.6,0,5,
MSL-001911,2025-09-25,REP-010,DrugBeta-50mg,Immunology,Dosing Guidelines,Post-Call Follow-up,No Answer Found,40.9,0,0,2,
MSL-001912,2025-09-25,REP-010,DrugBeta-50mg,Immunology,Guidelines / Protocols,Live During HCP Call,Fully Answered,6.9,12.0,1,4,HCP-0130
MSL-001913,2025-09-25,REP-010,DrugBeta-50mg,Immunology,Guidelines / Protocols,Pre-Meeting Prep,Fully Answered,5.3,9.8,1,4,HCP-0467
MSL-001914,2025-09-25,REP-010,DrugGamma-200mg,Immunology,Patient Selection Criteria,Post-Call Follow-up,Fully Answered,7.4,10.9,0,4,
MSL-001915,2025-09-25,REP-015,CardioPlus-25mg,Oncology,Pharmacokinetics,Self-Study,Fully Answered,6.5,13.1,0,5,
MSL-001916,2025-09-25,REP-015,DrugAlpha-100mg,Oncology,Clinical Trial Data,Self-Study,Fully Answered,8.2,5.8,0,5,
MSL-001917,2025-09-25,REP-015,CardioPlus-25mg,Oncology,Adverse Events / Safety,Post-Call Follow-up,Partially Answered,14.1,12.8,0,2,
MSL-001918,2025-09-25,REP-015,CardioPlus-25mg,Oncology,Guidelines / Protocols,Post-Call Follow-up,Redirected to Medical,4.1,0,0,2,
MSL-001919,2025-09-25,REP-015,NeuroX-75mg,Oncology,Competitor Comparison,Pre-Meeting Prep,Fully Answered,7.9,14.7,1,5,HCP-0330
MSL-001920,2025-09-25,REP-015,DrugGamma-200mg,Oncology,Combination Therapy,Self-Study,Fully Answered,8.0,10.5,0,5,
MSL-001921,2025-09-25,REP-016,DrugAlpha-100mg,Neurology,Combination Therapy,Pre-Meeting Prep,Fully Answered,12.4,18.1,1,5,HCP-0079
MSL-001922,2025-09-25,REP-016,NeuroX-75mg,Neurology,Real-World Evidence,Live During HCP Call,Redirected to Medical,23.0,0,0,2,
MSL-001923,2025-09-25,REP-017,DrugGamma-200mg,Immunology,Adverse Events / Safety,Live During HCP Call,Fully Answered,7.4,11.9,1,5,HCP-0296
MSL-001924,2025-09-25,REP-017,DrugAlpha-100mg,Immunology,Off-label Evidence Request,Live During HCP Call,Fully Answered,10.1,2,1,4,HCP-0104
MSL-001925,2025-09-25,REP-017,NeuroX-75mg,Immunology,Off-label Evidence Request,Live During HCP Call,Fully Answered,8.9,14.0,1,5,HCP-0062
MSL-001926,2025-09-25,REP-021,NeuroX-75mg,Rare Disease,Subgroup Analysis,Pre-Meeting Prep,Fully Answered,5.2,5.7,1,4,HCP-0248
MSL-001927,2025-09-25,REP-021,CardioPlus-25mg,Rare Disease,Off-label Evidence Request,Post-Call Follow-up,Fully Answered,6.0,14.5,0,5,
MSL-001928,2025-09-25,REP-021,DrugGamma-200mg,Rare Disease,Adverse Events / Safety,Live During HCP Call,Fully Answered,8.6,10.0,1,5,HCP-0453
MSL-001929,2025-09-25,REP-021,DrugBeta-50mg,Rare Disease,Adverse Events / Safety,Pre-Meeting Prep,Fully Answered,9.8,7.0,1,4,HCP-0328
MSL-001930,2025-09-25,REP-021,DrugGamma-200mg,Rare Disease,Long-term Outcomes,Self-Study,Redirected to Medical,17.0,0,0,2,
MSL-001931,2025-09-26,REP-002,DrugGamma-200mg,Oncology,Dosing Guidelines,Post-Call Follow-up,Fully Answered,5.0,15.0,0,5,
MSL-001932,2025-09-26,REP-002,CardioPlus-25mg,Oncology,Dosing Guidelines,Live During HCP Call,Fully Answered,7.6,11.4,1,5,HCP-0205
MSL-001933,2025-09-26,REP-002,CardioPlus-25mg,Oncology,Off-label Evidence Request,Self-Study,Fully Answered,5.0,10.9,0,4,
MSL-001934,2025-09-26,REP-004,CardioPlus-25mg,Cardiology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,10.0,15.0,1,4,HCP-0495
MSL-001935,2025-09-26,REP-004,DrugAlpha-100mg,Cardiology,Combination Therapy,Live During HCP Call,Partially Answered,16.3,5.4,0,3,
MSL-001936,2025-09-26,REP-004,DrugGamma-200mg,Cardiology,Long-term Outcomes,Live During HCP Call,Partially Answered,11.1,11.1,1,3,HCP-0318
MSL-001937,2025-09-26,REP-004,DrugGamma-200mg,Cardiology,Patient Selection Criteria,Live During HCP Call,Redirected to Medical,17.6,0,0,3,
MSL-001938,2025-09-26,REP-004,DrugAlpha-100mg,Cardiology,Combination Therapy,Live During HCP Call,Partially Answered,21.1,19.8,0,3,
MSL-001939,2025-09-26,REP-004,DrugGamma-200mg,Cardiology,Competitor Comparison,Live During HCP Call,Fully Answered,9.0,17.5,1,4,HCP-0271
MSL-001940,2025-09-26,REP-004,DrugBeta-50mg,Cardiology,Biomarker Data,Pre-Meeting Prep,Fully Answered,6.7,15.4,0,5,
MSL-001941,2025-09-26,REP-008,CardioPlus-25mg,Immunology,Dosing Guidelines,Self-Study,Fully Answered,5.1,5.8,0,5,
MSL-001942,2025-09-26,REP-008,DrugGamma-200mg,Immunology,Dosing Guidelines,Post-Call Follow-up,Fully Answered,10.8,13.8,0,5,
MSL-001943,2025-09-26,REP-008,DrugAlpha-100mg,Immunology,Pharmacokinetics,Self-Study,Fully Answered,4.5,9.8,0,5,
MSL-001944,2025-09-26,REP-008,DrugAlpha-100mg,Immunology,Mechanism of Action,Live During HCP Call,Fully Answered,11.0,10.3,1,4,HCP-0081
MSL-001945,2025-09-26,REP-008,DrugBeta-50mg,Immunology,Subgroup Analysis,Pre-Meeting Prep,Fully Answered,6.6,10.5,0,5,
MSL-001946,2025-09-26,REP-010,NeuroX-75mg,Immunology,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,10.3,18.8,1,5,HCP-0192
MSL-001947,2025-09-26,REP-010,DrugGamma-200mg,Immunology,Subgroup Analysis,Self-Study,Redirected to Medical,15.7,0,0,2,
MSL-001948,2025-09-26,REP-010,DrugBeta-50mg,Immunology,Dosing Guidelines,Post-Call Follow-up,Fully Answered,13.4,13.1,0,5,
MSL-001949,2025-09-26,REP-010,CardioPlus-25mg,Immunology,Patient Selection Criteria,Pre-Meeting Prep,Fully Answered,8.4,10.2,1,5,HCP-0080
MSL-001950,2025-09-26,REP-015,DrugGamma-200mg,Oncology,Pharmacokinetics,Self-Study,Fully Answered,10.9,18.3,0,5,
MSL-001951,2025-09-26,REP-015,DrugGamma-200mg,Oncology,Subgroup Analysis,Self-Study,No Answer Found,33.4,0,0,2,
MSL-001952,2025-09-26,REP-015,NeuroX-75mg,Oncology,Biomarker Data,Pre-Meeting Prep,Fully Answered,5.6,7.2,1,4,HCP-0159
MSL-001953,2025-09-26,REP-015,CardioPlus-25mg,Oncology,Adverse Events / Safety,Self-Study,Fully Answered,10.6,7.5,0,5,
MSL-001954,2025-09-26,REP-016,DrugGamma-200mg,Neurology,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,10.0,3.9,1,5,HCP-0165
MSL-001955,2025-09-26,REP-016,CardioPlus-25mg,Neurology,Real-World Evidence,Pre-Meeting Prep,Fully Answered,3.9,12.6,1,5,HCP-0451
MSL-001956,2025-09-26,REP-016,DrugGamma-200mg,Neurology,Mechanism of Action,Pre-Meeting Prep,Partially Answered,13.2,15.9,0,2,
MSL-001957,2025-09-26,REP-016,CardioPlus-25mg,Neurology,Patient Selection Criteria,Self-Study,Fully Answered,7.1,16.1,0,5,
MSL-001958,2025-09-26,REP-016,DrugAlpha-100mg,Neurology,Drug Interactions,Pre-Meeting Prep,Fully Answered,4.5,9.5,1,5,HCP-0455
MSL-001959,2025-09-26,REP-016,DrugBeta-50mg,Neurology,Off-label Evidence Request,Post-Call Follow-up,No Answer Found,32.1,0,0,2,
MSL-001960,2025-09-26,REP-016,DrugBeta-50mg,Neurology,Drug Interactions,Self-Study,Fully Answered,6.3,17.1,0,4,
MSL-001961,2025-09-26,REP-017,DrugGamma-200mg,Immunology,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,12.6,8.7,1,5,HCP-0281
MSL-001962,2025-09-26,REP-021,CardioPlus-25mg,Rare Disease,Biomarker Data,Post-Call Follow-up,Fully Answered,6.4,18.9,0,4,
MSL-001963,2025-09-26,REP-021,DrugGamma-200mg,Rare Disease,Adverse Events / Safety,Pre-Meeting Prep,Partially Answered,19.0,12.7,1,3,HCP-0144
MSL-001964,2025-09-26,REP-021,DrugBeta-50mg,Rare Disease,Adverse Events / Safety,Pre-Meeting Prep,Fully Answered,10.4,18.4,1,5,HCP-0427
MSL-001965,2025-09-26,REP-021,DrugAlpha-100mg,Rare Disease,Guidelines / Protocols,Self-Study,Fully Answered,7.8,14.6,0,4,
MSL-001966,2025-09-29,REP-002,DrugGamma-200mg,Oncology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,2.8,10.3,1,5,HCP-0011
MSL-001967,2025-09-29,REP-004,DrugGamma-200mg,Cardiology,Competitor Comparison,Pre-Meeting Prep,Redirected to Medical,26.5,0,0,2,
MSL-001968,2025-09-29,REP-004,NeuroX-75mg,Cardiology,Mechanism of Action,Post-Call Follow-up,Fully Answered,5.7,9.4,0,5,
MSL-001969,2025-09-29,REP-004,DrugBeta-50mg,Cardiology,Patient Selection Criteria,Live During HCP Call,Fully Answered,6.6,12.2,1,5,HCP-0017
MSL-001970,2025-09-29,REP-008,NeuroX-75mg,Immunology,Drug Interactions,Pre-Meeting Prep,Fully Answered,10.2,12.4,0,4,
MSL-001971,2025-09-29,REP-008,NeuroX-75mg,Immunology,Patient Selection Criteria,Self-Study,Partially Answered,18.5,11.2,0,2,
MSL-001972,2025-09-29,REP-008,DrugBeta-50mg,Immunology,Competitor Comparison,Pre-Meeting Prep,Fully Answered,7.8,7.4,0,4,
MSL-001973,2025-09-29,REP-009,DrugAlpha-100mg,Cardiology,Patient Selection Criteria,Self-Study,Fully Answered,8.6,19.8,0,5,
MSL-001974,2025-09-29,REP-009,DrugBeta-50mg,Cardiology,Real-World Evidence,Self-Study,Partially Answered,10.4,8.8,0,4,
MSL-001975,2025-09-29,REP-009,NeuroX-75mg,Cardiology,Guidelines / Protocols,Self-Study,Fully Answered,7.8,13.1,0,5,
MSL-001976,2025-09-29,REP-009,DrugAlpha-100mg,Cardiology,Subgroup Analysis,Post-Call Follow-up,Partially Answered,12.9,14.8,0,3,
MSL-001977,2025-09-29,REP-009,CardioPlus-25mg,Cardiology,Long-term Outcomes,Live During HCP Call,Fully Answered,8.3,10.8,0,4,
MSL-001978,2025-09-29,REP-009,DrugBeta-50mg,Cardiology,Mechanism of Action,Pre-Meeting Prep,No Answer Found,8.4,0,0,2,
MSL-001979,2025-09-29,REP-010,DrugBeta-50mg,Immunology,Subgroup Analysis,Live During HCP Call,Fully Answered,4.8,12.0,1,4,HCP-0358
MSL-001980,2025-09-29,REP-010,DrugBeta-50mg,Immunology,Guidelines / Protocols,Pre-Meeting Prep,Fully Answered,8.5,14.5,1,4,HCP-0156
MSL-001981,2025-09-29,REP-010,DrugGamma-200mg,Immunology,Competitor Comparison,Self-Study,Redirected to Medical,17.1,0,0,1,
MSL-001982,2025-09-29,REP-010,DrugGamma-200mg,Immunology,Adverse Events / Safety,Pre-Meeting Prep,Partially Answered,15.6,16.8,0,3,
MSL-001983,2025-09-29,REP-015,CardioPlus-25mg,Oncology,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,6.4,10.9,1,5,HCP-0167
MSL-001984,2025-09-29,REP-015,CardioPlus-25mg,Oncology,Pharmacokinetics,Post-Call Follow-up,Redirected to Medical,25.3,0,0,3,
MSL-001985,2025-09-29,REP-015,DrugBeta-50mg,Oncology,Real-World Evidence,Post-Call Follow-up,Fully Answered,7.1,19.7,0,5,
MSL-001986,2025-09-29,REP-015,DrugGamma-200mg,Oncology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,5.5,11.0,1,4,HCP-0051
MSL-001987,2025-09-29,REP-015,CardioPlus-25mg,Oncology,Biomarker Data,Post-Call Follow-up,Redirected to Medical,12.9,0,0,3,
MSL-001988,2025-09-29,REP-016,DrugGamma-200mg,Neurology,Patient Selection Criteria,Post-Call Follow-up,Partially Answered,23.8,10.0,0,3,
MSL-001989,2025-09-29,REP-016,CardioPlus-25mg,Neurology,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,7.3,23.7,0,4,
MSL-001990,2025-09-29,REP-016,DrugGamma-200mg,Neurology,Clinical Trial Data,Self-Study,Fully Answered,12.1,5.3,0,5,
MSL-001991,2025-09-29,REP-017,DrugAlpha-100mg,Immunology,Mechanism of Action,Pre-Meeting Prep,Redirected to Medical,18.3,0,0,1,
MSL-001992,2025-09-29,REP-017,DrugGamma-200mg,Immunology,Clinical Trial Data,Live During HCP Call,Fully Answered,8.2,14.8,1,5,HCP-0211
MSL-001993,2025-09-29,REP-017,DrugGamma-200mg,Immunology,Guidelines / Protocols,Pre-Meeting Prep,Fully Answered,6.6,27.0,1,5,HCP-0466
MSL-001994,2025-09-29,REP-021,DrugAlpha-100mg,Rare Disease,Off-label Evidence Request,Live During HCP Call,Fully Answered,6.0,5.3,0,5,
MSL-001995,2025-09-29,REP-021,DrugAlpha-100mg,Rare Disease,Real-World Evidence,Self-Study,Fully Answered,4.4,5.7,0,5,
MSL-001996,2025-09-29,REP-021,CardioPlus-25mg,Rare Disease,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,5.1,11.6,1,5,HCP-0385
MSL-001997,2025-09-29,REP-021,DrugAlpha-100mg,Rare Disease,Subgroup Analysis,Live During HCP Call,No Answer Found,32.1,0,0,1,
MSL-001998,2025-09-30,REP-002,DrugAlpha-100mg,Oncology,Biomarker Data,Pre-Meeting Prep,Fully Answered,12.0,14.9,1,5,HCP-0283
MSL-001999,2025-09-30,REP-002,DrugAlpha-100mg,Oncology,Combination Therapy,Live During HCP Call,Partially Answered,10.5,11.8,1,3,HCP-0269
MSL-002000,2025-09-30,REP-002,DrugBeta-50mg,Oncology,Clinical Trial Data,Post-Call Follow-up,Fully Answered,3.7,14.7,0,5,
MSL-002001,2025-09-30,REP-002,DrugBeta-50mg,Oncology,Guidelines / Protocols,Post-Call Follow-up,Fully Answered,11.5,6.6,0,5,
MSL-002002,2025-09-30,REP-004,DrugAlpha-100mg,Cardiology,Long-term Outcomes,Post-Call Follow-up,Redirected to Medical,44.5,0,0,3,
MSL-002003,2025-09-30,REP-004,CardioPlus-25mg,Cardiology,Off-label Evidence Request,Post-Call Follow-up,Partially Answered,10.2,9.9,0,4,
MSL-002004,2025-09-30,REP-004,DrugAlpha-100mg,Cardiology,Dosing Guidelines,Self-Study,Fully Answered,4.9,9.0,0,5,
MSL-002005,2025-09-30,REP-004,CardioPlus-25mg,Cardiology,Real-World Evidence,Pre-Meeting Prep,Fully Answered,4.2,10.5,1,5,HCP-0429
MSL-002006,2025-09-30,REP-008,DrugBeta-50mg,Immunology,Dosing Guidelines,Pre-Meeting Prep,Fully Answered,8.2,4.1,1,4,HCP-0315
MSL-002007,2025-09-30,REP-008,NeuroX-75mg,Immunology,Real-World Evidence,Post-Call Follow-up,No Answer Found,20.4,0,0,3,
MSL-002008,2025-09-30,REP-008,CardioPlus-25mg,Immunology,Dosing Guidelines,Pre-Meeting Prep,Fully Answered,9.2,14.2,1,5,HCP-0033
MSL-002009,2025-09-30,REP-008,NeuroX-75mg,Immunology,Competitor Comparison,Self-Study,Partially Answered,12.7,20.9,0,4,
MSL-002010,2025-09-30,REP-009,DrugBeta-50mg,Cardiology,Off-label Evidence Request,Pre-Meeting Prep,Redirected to Medical,19.1,0,0,2,
MSL-002011,2025-09-30,REP-009,CardioPlus-25mg,Cardiology,Pharmacokinetics,Live During HCP Call,Fully Answered,6.2,16.3,0,4,
MSL-002012,2025-09-30,REP-010,DrugAlpha-100mg,Immunology,Mechanism of Action,Pre-Meeting Prep,Fully Answered,8.9,10.4,0,5,
MSL-002013,2025-09-30,REP-010,DrugAlpha-100mg,Immunology,Biomarker Data,Post-Call Follow-up,Redirected to Medical,22.2,0,0,2,
MSL-002014,2025-09-30,REP-010,DrugBeta-50mg,Immunology,Guidelines / Protocols,Pre-Meeting Prep,No Answer Found,30.2,0,0,2,
MSL-002015,2025-09-30,REP-015,CardioPlus-25mg,Oncology,Combination Therapy,Live During HCP Call,Fully Answered,6.2,13.1,0,5,
MSL-002016,2025-09-30,REP-016,NeuroX-75mg,Neurology,Pharmacokinetics,Live During HCP Call,Partially Answered,13.6,8.5,1,3,HCP-0233
MSL-002017,2025-09-30,REP-016,DrugGamma-200mg,Neurology,Dosing Guidelines,Pre-Meeting Prep,Fully Answered,2.8,6.1,1,5,HCP-0270
MSL-002018,2025-09-30,REP-016,CardioPlus-25mg,Neurology,Subgroup Analysis,Live During HCP Call,Partially Answered,11.4,6.4,0,4,
MSL-002019,2025-09-30,REP-017,DrugBeta-50mg,Immunology,Subgroup Analysis,Post-Call Follow-up,Fully Answered,4.5,11.6,0,5,
MSL-002020,2025-09-30,REP-017,DrugGamma-200mg,Immunology,Long-term Outcomes,Self-Study,Fully Answered,7.4,14.2,0,5,
MSL-002021,2025-09-30,REP-021,NeuroX-75mg,Rare Disease,Off-label Evidence Request,Pre-Meeting Prep,Fully Answered,10.7,12.7,1,5,HCP-0500
